StoreID: 1 | Date: 7/12/16 | Register: 5 | Sale: $263.8 | Total Produced: 1 | Sleep: 14ms
StoreID: 2 | Date: 5/8/16 | Register: 3 | Sale: $785.5 | Total Produced: 2 | Sleep: 30ms
StoreID: 1 | Date: 9/6/16 | Register: 1 | Sale: $970.4 | Total Produced: 3 | Sleep: 39ms
StoreID: 2 | Date: 28/11/16 | Register: 4 | Sale: $562.5 | Total Produced: 4 | Sleep: 32ms
StoreID: 1 | Date: 24/7/16 | Register: 6 | Sale: $144.12 | Total Produced: 5 | Sleep: 19ms
StoreID: 1 | Date: 5/8/16 | Register: 1 | Sale: $317.53 | Total Produced: 6 | Sleep: 40ms
StoreID: 2 | Date: 29/8/16 | Register: 4 | Sale: $287.23 | Total Produced: 7 | Sleep: 26ms
StoreID: 2 | Date: 25/12/16 | Register: 6 | Sale: $465.82 | Total Produced: 8 | Sleep: 30ms
StoreID: 1 | Date: 17/7/16 | Register: 1 | Sale: $338.84 | Total Produced: 9 | Sleep: 12ms
StoreID: 1 | Date: 23/3/16 | Register: 6 | Sale: $109.43 | Total Produced: 10 | Sleep: 5ms
StoreID: 1 | Date: 15/4/16 | Register: 5 | Sale: $659.15 | Total Produced: 11 | Sleep: 18ms
StoreID: 2 | Date: 25/4/16 | Register: 1 | Sale: $100.32 | Total Produced: 12 | Sleep: 9ms
StoreID: 2 | Date: 1/4/16 | Register: 1 | Sale: $2.39 | Total Produced: 13 | Sleep: 13ms
StoreID: 1 | Date: 2/8/16 | Register: 2 | Sale: $793.56 | Total Produced: 14 | Sleep: 40ms
StoreID: 2 | Date: 26/6/16 | Register: 6 | Sale: $145.29 | Total Produced: 15 | Sleep: 32ms
StoreID: 1 | Date: 13/5/16 | Register: 4 | Sale: $667.09 | Total Produced: 16 | Sleep: 36ms
StoreID: 2 | Date: 16/10/16 | Register: 5 | Sale: $398.22 | Total Produced: 17 | Sleep: 38ms
StoreID: 1 | Date: 23/1/16 | Register: 5 | Sale: $472.76 | Total Produced: 18 | Sleep: 22ms
StoreID: 2 | Date: 26/9/16 | Register: 1 | Sale: $747.23 | Total Produced: 19 | Sleep: 20ms
