StoreID: 1 | Date: 17/2/16 | Register: 5 | Sale: $644.37 | Total Produced: 1 | Sleep: 35ms
StoreID: 2 | Date: 27/11/16 | Register: 6 | Sale: $781.47 | Total Produced: 2 | Sleep: 7ms
StoreID: 2 | Date: 21/10/16 | Register: 3 | Sale: $271.07 | Total Produced: 3 | Sleep: 8ms
StoreID: 2 | Date: 1/8/16 | Register: 5 | Sale: $89.59 | Total Produced: 4 | Sleep: 15ms
StoreID: 1 | Date: 30/4/16 | Register: 3 | Sale: $428.04 | Total Produced: 5 | Sleep: 40ms
StoreID: 2 | Date: 18/12/16 | Register: 5 | Sale: $31.16 | Total Produced: 6 | Sleep: 13ms
StoreID: 2 | Date: 20/12/16 | Register: 4 | Sale: $130.57 | Total Produced: 7 | Sleep: 29ms
StoreID: 1 | Date: 20/7/16 | Register: 5 | Sale: $921.63 | Total Produced: 8 | Sleep: 38ms
StoreID: 2 | Date: 17/2/16 | Register: 5 | Sale: $112.1 | Total Produced: 9 | Sleep: 9ms
StoreID: 2 | Date: 26/11/16 | Register: 6 | Sale: $725.17 | Total Produced: 10 | Sleep: 7ms
StoreID: 2 | Date: 4/4/16 | Register: 4 | Sale: $605.26 | Total Produced: 11 | Sleep: 32ms
StoreID: 1 | Date: 28/4/16 | Register: 2 | Sale: $171.49 | Total Produced: 12 | Sleep: 6ms
StoreID: 1 | Date: 14/5/16 | Register: 1 | Sale: $842.6 | Total Produced: 13 | Sleep: 25ms
StoreID: 2 | Date: 30/5/16 | Register: 1 | Sale: $592.53 | Total Produced: 14 | Sleep: 20ms
StoreID: 1 | Date: 8/1/16 | Register: 3 | Sale: $803.25 | Total Produced: 15 | Sleep: 15ms
StoreID: 2 | Date: 13/11/16 | Register: 4 | Sale: $592.17 | Total Produced: 16 | Sleep: 31ms
StoreID: 1 | Date: 22/6/16 | Register: 4 | Sale: $85.02 | Total Produced: 17 | Sleep: 32ms
StoreID: 2 | Date: 1/2/16 | Register: 5 | Sale: $429.47 | Total Produced: 18 | Sleep: 30ms
StoreID: 1 | Date: 6/7/16 | Register: 6 | Sale: $754.12 | Total Produced: 19 | Sleep: 8ms
StoreID: 1 | Date: 12/10/16 | Register: 6 | Sale: $949.25 | Total Produced: 20 | Sleep: 21ms
StoreID: 2 | Date: 3/11/16 | Register: 5 | Sale: $143.32 | Total Produced: 21 | Sleep: 36ms
StoreID: 1 | Date: 26/11/16 | Register: 1 | Sale: $835.42 | Total Produced: 22 | Sleep: 30ms
StoreID: 2 | Date: 7/12/16 | Register: 5 | Sale: $753.15 | Total Produced: 23 | Sleep: 28ms
StoreID: 1 | Date: 26/2/16 | Register: 6 | Sale: $678.89 | Total Produced: 24 | Sleep: 30ms
StoreID: 2 | Date: 5/4/16 | Register: 6 | Sale: $170.27 | Total Produced: 25 | Sleep: 24ms
StoreID: 1 | Date: 13/2/16 | Register: 5 | Sale: $896.29 | Total Produced: 26 | Sleep: 33ms
StoreID: 2 | Date: 27/12/16 | Register: 2 | Sale: $852.67 | Total Produced: 27 | Sleep: 14ms
StoreID: 1 | Date: 15/1/16 | Register: 6 | Sale: $823.18 | Total Produced: 28 | Sleep: 37ms
StoreID: 2 | Date: 6/1/16 | Register: 6 | Sale: $743.21 | Total Produced: 29 | Sleep: 38ms
StoreID: 1 | Date: 3/10/16 | Register: 6 | Sale: $14.23 | Total Produced: 30 | Sleep: 29ms
StoreID: 2 | Date: 17/10/16 | Register: 4 | Sale: $106.05 | Total Produced: 31 | Sleep: 10ms
StoreID: 2 | Date: 17/7/16 | Register: 5 | Sale: $75.78 | Total Produced: 32 | Sleep: 8ms
StoreID: 2 | Date: 7/4/16 | Register: 4 | Sale: $335.99 | Total Produced: 33 | Sleep: 5ms
StoreID: 1 | Date: 23/5/16 | Register: 5 | Sale: $517.34 | Total Produced: 34 | Sleep: 33ms
StoreID: 2 | Date: 17/2/16 | Register: 6 | Sale: $969.99 | Total Produced: 35 | Sleep: 33ms
StoreID: 1 | Date: 25/6/16 | Register: 2 | Sale: $168.83 | Total Produced: 36 | Sleep: 10ms
StoreID: 2 | Date: 3/2/16 | Register: 3 | Sale: $23.21 | Total Produced: 37 | Sleep: 14ms
StoreID: 1 | Date: 6/9/16 | Register: 2 | Sale: $542.73 | Total Produced: 38 | Sleep: 19ms
StoreID: 2 | Date: 11/5/16 | Register: 4 | Sale: $44.85 | Total Produced: 39 | Sleep: 34ms
StoreID: 1 | Date: 20/11/16 | Register: 2 | Sale: $877.69 | Total Produced: 40 | Sleep: 19ms
StoreID: 1 | Date: 1/2/16 | Register: 4 | Sale: $585.93 | Total Produced: 41 | Sleep: 37ms
StoreID: 2 | Date: 30/10/16 | Register: 1 | Sale: $895.53 | Total Produced: 42 | Sleep: 36ms
StoreID: 1 | Date: 10/8/16 | Register: 3 | Sale: $333.47 | Total Produced: 43 | Sleep: 9ms
StoreID: 2 | Date: 4/10/16 | Register: 5 | Sale: $743.62 | Total Produced: 44 | Sleep: 39ms
StoreID: 1 | Date: 6/4/16 | Register: 3 | Sale: $399.08 | Total Produced: 45 | Sleep: 13ms
StoreID: 1 | Date: 1/3/16 | Register: 1 | Sale: $630.97 | Total Produced: 46 | Sleep: 40ms
StoreID: 2 | Date: 7/4/16 | Register: 2 | Sale: $88.41 | Total Produced: 47 | Sleep: 35ms
StoreID: 1 | Date: 14/8/16 | Register: 3 | Sale: $825.13 | Total Produced: 48 | Sleep: 5ms
StoreID: 1 | Date: 16/11/16 | Register: 6 | Sale: $355.39 | Total Produced: 49 | Sleep: 25ms
StoreID: 2 | Date: 2/2/16 | Register: 4 | Sale: $853.78 | Total Produced: 50 | Sleep: 10ms
StoreID: 2 | Date: 14/12/16 | Register: 1 | Sale: $256.54 | Total Produced: 51 | Sleep: 28ms
StoreID: 1 | Date: 4/7/16 | Register: 6 | Sale: $382.75 | Total Produced: 52 | Sleep: 40ms
StoreID: 2 | Date: 6/9/16 | Register: 4 | Sale: $595.72 | Total Produced: 53 | Sleep: 8ms
StoreID: 2 | Date: 8/4/16 | Register: 5 | Sale: $774.79 | Total Produced: 54 | Sleep: 40ms
StoreID: 1 | Date: 5/1/16 | Register: 2 | Sale: $502.99 | Total Produced: 55 | Sleep: 21ms
StoreID: 1 | Date: 8/10/16 | Register: 6 | Sale: $660.14 | Total Produced: 56 | Sleep: 38ms
StoreID: 2 | Date: 21/11/16 | Register: 1 | Sale: $109.33 | Total Produced: 57 | Sleep: 21ms
StoreID: 2 | Date: 10/1/16 | Register: 5 | Sale: $983.65 | Total Produced: 58 | Sleep: 16ms
StoreID: 1 | Date: 26/7/16 | Register: 2 | Sale: $600.98 | Total Produced: 59 | Sleep: 25ms
StoreID: 2 | Date: 4/7/16 | Register: 6 | Sale: $728.51 | Total Produced: 60 | Sleep: 32ms
StoreID: 1 | Date: 27/5/16 | Register: 3 | Sale: $466.32 | Total Produced: 61 | Sleep: 34ms
StoreID: 2 | Date: 19/10/16 | Register: 1 | Sale: $879.61 | Total Produced: 62 | Sleep: 17ms
StoreID: 2 | Date: 2/12/16 | Register: 3 | Sale: $269.25 | Total Produced: 63 | Sleep: 7ms
StoreID: 1 | Date: 1/4/16 | Register: 1 | Sale: $644.8 | Total Produced: 64 | Sleep: 9ms
StoreID: 2 | Date: 7/6/16 | Register: 3 | Sale: $115.93 | Total Produced: 65 | Sleep: 7ms
StoreID: 1 | Date: 5/9/16 | Register: 3 | Sale: $342.29 | Total Produced: 66 | Sleep: 31ms
StoreID: 2 | Date: 10/5/16 | Register: 1 | Sale: $373.61 | Total Produced: 67 | Sleep: 25ms
StoreID: 2 | Date: 28/4/16 | Register: 4 | Sale: $976.78 | Total Produced: 68 | Sleep: 5ms
StoreID: 1 | Date: 28/10/16 | Register: 1 | Sale: $197.93 | Total Produced: 69 | Sleep: 14ms
StoreID: 2 | Date: 9/10/16 | Register: 1 | Sale: $622.23 | Total Produced: 70 | Sleep: 22ms
StoreID: 1 | Date: 3/12/16 | Register: 4 | Sale: $324.7 | Total Produced: 71 | Sleep: 9ms
StoreID: 1 | Date: 12/1/16 | Register: 2 | Sale: $376.45 | Total Produced: 72 | Sleep: 30ms
StoreID: 2 | Date: 14/1/16 | Register: 6 | Sale: $840.61 | Total Produced: 73 | Sleep: 29ms
StoreID: 1 | Date: 12/9/16 | Register: 2 | Sale: $801.35 | Total Produced: 74 | Sleep: 27ms
StoreID: 2 | Date: 15/5/16 | Register: 3 | Sale: $487.8 | Total Produced: 75 | Sleep: 13ms
StoreID: 2 | Date: 12/7/16 | Register: 6 | Sale: $96.09 | Total Produced: 76 | Sleep: 24ms
